url_source,name,date,descr,developer,site,whitepaper_link
https://icosource.io/ico/jibrel-network/,Jibrel Network ICO Details, 27th Nov - 27th Jan,"We are the first protocol to allow anyone to put traditional assets like currencies, bonds, and other financial instruments on the blockchain in a form of Crypto Depository Receipts (CryDRs).",,https://jibrel.network,https://jibrel.network/assets/white_paper/Jibrel%20Network%20-%20White%20Paper%20(2nd%20Draft).pdf
https://icosource.io/ico/lendoit/,Lendoit ICO Details, 13th Dec - 13th Jan,"Lendoit is decentralized P2P Lending platform based on Ethereum, which connects borrowers and lenders from around the world using the advantages of Smart Contracts and the Blockchain technology. The platform provides all the elements a lending market needs to function, namely: professional scoring and verification APIs for each country, a loan marketplace, where lenders bid interest rates on loan applications and a default market where failed loans can be traded. The Lendoit Smart Loan Contract also offers important functions like syndicated loans and the ability to sell a loan to another lender if needed.",,https://lendoit.com,https://goo.gl/rDYnr8
https://icosource.io/ico/valorem/,Valorem ICO Details, 15th Dec - 30th Jan,"Valorem Foundation’s goal is to provide an easy to use platform, for the mainstream as well as the crypto community.",https://github.com/ValoremFoundation,https://advalorem.io/,https://static1.squarespace.com/static/5970abb237c581505171cbae/t/59ffdfdd652dea4f72034d2a/1509941255088/Valorem+Whitepaper+Final%281%29.pdf
https://icosource.io/ico/repux/,Repux ICO Details, 6th Feb - 1st Feb,"RepuX is launching a decentralized, Ethereum-backed platform for SMEs to upload and sell data to other users on the network. The data will be encrypted and distributed securely across the globe using IPFS. SMEs will be able to sell data to developers who can then use the data to create DAPPS, which can then be sold back to SMEs to grow and scale their businesses. Reputation scores are determined by the purchasers, which keeps the data sellers honest. The RepuX platform forms the foundation for a SME-developer ecosystem wherein all parties benefit from a more transparent and efficient platform for data exchange.",,https://repux.io/,https://repux.io/assets/repux-whitepaper-10-29-17-ver-1-a7cd8f9250fab5b16758baf9df31eb78aa25112cc40085aa3bda1f20278f3715.pdf
https://icosource.io/ico/modex/,Modex ICO Details, 1st Jan - 1st Feb,"Developers can leverage Modex to monetize their skills and offer Smart Contract solutions to end-customers and contributors. The real-world community can easily find Smart Contracts that meet real-world needs, are already audited and secure, without having to scout developers and manage one-off development projects.",https://github.com/modex-tech,https://www.modex.tech,https://www.modex.tech/documentation/whitepaper.pdf
https://icosource.io/ico/gimmer/,Gimmer ICO Details, 3rd Jan - 1st Feb,"Gimmer is a community-based automated cryptocurrency trading platform where users share, learn and earn together. It’s easy-to-use and accessible to all types of customer.",https://github.com/GimmerBot,https://token.gimmer.net?utm_source=icoSource,https://token.gimmer.net/assets/docs/gimmer-wp-en.pdf
https://icosource.io/ico/transcodium-pre-ico/,Transcodium Pre-ICO ICO Details, 7th Jan - 28th Feb,"Transcodium aims to provide the first peer-to-peer decentralized file editing, transcoding and distribution platform with high quality and reliable computational power at a very affordable price. This will create a global market for users, willing to rent their idle machines to be used as workers. Further, at the end of the processing, the worker (processor) will be rewarded with tokens which can be exchanged into any currency or can be sold to customers (initiators) who need these tokens for use on our platform.",https://github.com/transcodium,https://goo.gl/a7tHLw,https://transcodium.com/files/whitepaper.pdf
https://icosource.io/ico/credits/,Credits ICO Details, 15th Jan - 15th Feb,"CREDITS platform offers new and unique technical implementation of blockchain technology, smart contracts, data protocol and has its own internal cryptocurrency.",https://gist.github.com/Credits-com,https://credits.com/,https://credits.com/Content/Docs/TechnicalWhitePaperCREDITSEng.pdf
https://icosource.io/ico/dopamine/,Dopamine.ai ICO Details, 17th Jan - 31st Jan,"Intelligent machines can solve problems, such as having to work, drive, or clean your home. Super-intelligent machines can potentially solve even bigger challenges, such as hunger or natural disasters.",,http://www.dopamine.ai,https://dopamine.ai/#whitepaper
https://icosource.io/ico/potentiam/,Potentiam ICO Details, 9th Feb - 8th Mar,Potentiam is an incentive driven music social network powered by blockchain technology. It aims to bring music creatives into direct contact with their target market. It proposes to eliminate the need for intermediaries in the music industry that would have otherwise provided:,https://github.com/Potentiam,https://www.potentiam.io/,https://docs.wixstatic.com/ugd/73bd45_da5dda98eaff46f09461ff1ffbd2b39f.pdf
https://icosource.io/ico/canya-coin/,Canya Coin ICO Details, 26th Nov - 1st Feb,"CanYa is a peer to peer market of skilled services – where users are instantly connected to service providers. Unlike most ICO’s we already have a working product, high user growth and an experienced team – We launched our initial product to Australia earlier this year and now we’re conducting an ICO to fund expansion into the international market as well as launching CAN token. Being able to bring a skilled services marketplace to the cryptocurrecny community allows instant spending of crypto for real services – bringing value to the ecosystem. On top of this, CanYa also benefits cryptocurrency by allowing us to bring crypto to those who want a skilled services marketplace but who are yet to become familiar to cryptocurrency.",https://github.com/CanYaCoinSale/,http://www.canya.io,https://canya.io/assets/docs/WhitePaper.pdf
https://icosource.io/ico/magnumlink/,Magnum Link ICO Details, 12th Nov - 12th Jan,"We are a registered company with a valid license to operate exploration, mining and refining operations. We discover minerals and exploitation opportunities in Sierra Leone and internationally with the goal of allowing investors more secure and efficient way to trade precious minerals.",,http://www.magnumlink.com,https://www.magnumlink.com/WP_ENG_1_booklet.pdf
https://icosource.io/ico/lendoit/,Lendoit ICO Details, 13th Dec - 13th Jan,"Lendoit is decentralized P2P Lending platform based on Ethereum, which connects borrowers and lenders from around the world using the advantages of Smart Contracts and the Blockchain technology. The platform provides all the elements a lending market needs to function, namely: professional scoring and verification APIs for each country, a loan marketplace, where lenders bid interest rates on loan applications and a default market where failed loans can be traded. The Lendoit Smart Loan Contract also offers important functions like syndicated loans and the ability to sell a loan to another lender if needed.",,https://lendoit.com,https://goo.gl/rDYnr8
https://icosource.io/ico/fintab/,FinTab ICO Details, 14th Dec - 14th Jan,"FinTab is Accounting System for Cryptocurrency Portfolios. Keep a record of cryptocurrencies and analyze the current state of your funds on various exchanges and e-wallets with the help of our system. Besides, we already have a working beta-version of our service.",,https://fintab.io/,https://drive.google.com/open?id=1IawIwe0zJmhytA6PIs9S8wEo7gP6nyRL
https://icosource.io/ico/media-coin/,Media Coin ICO Details, 18th Dec - 19th Jan,"AdMine is a new kind of crypto currency mining where the user receives koins for viewing advertising on the Internet, assessing the quality of goods, providing personal data for analytical services, passing marketing quests, testing games.",,http://admine.io/,http://admine.io/material/AdMine_White_Paper_eng.pdf
https://icosource.io/ico/immune-coin/,Immune Coin ICO Details, 5th Dec - 20th Jan,Everyone is worthy of having the freedom from diseases!,,http://immunecoin.info,http://immunecoin.info/en/IMC_WhitePaper_2017.10.28_en.pdf
https://icosource.io/ico/obizcoin-pre-ico/,Obizcoin Pre-ICO ICO Details, 14th Dec - 24th Jan,"ObizCoin is getting ready for their ICO Pre-Sale and their global introduction of the world’s first “Smart Process BOTs”. The ObizCoin Platform has in and of itself created a new paradigm in the way businesses will manage their internal processes. Any successful enterprise must have the ability to define and implement each business process, and then to analyze how to improve upon it. Through the use of Artificial Intelligence and Blockchain Technology, ObizCoin Smart Bot’s will be able to identify and improve all the processes that go into a successful business model.",https://github.com/Obizcoin/obizcoin,https://www.obizcoin.io/,https://www.obizcoin.io/images/Obizcoin-Whitepaper.pdf
https://icosource.io/ico/astor-pre-ico/,Astor Pre-ICO ICO Details, 10th Jan - 24th Jan,"AstorGame will change the eSports and betting world with an eSports and online gambling platform developed using cutting-edge technology on which each person, in accordance with his or her profile, can choose between gaming and betting. If you are an eSports player, you can use the eSports platform to take part in matches and tournaments of games such as League of Legends, FIFA 17, Dota 2, Counter-Strike, Playerunknown’s Battlegrounds and Halo, among many others that will be added over time.",,http://astorgame.com/,http://astorgame.com/docs/WP_AstorGame_en.pdf
https://icosource.io/ico/gturbo-token/,GTurbo Token ICO Details, 11th Jan - 25th Jan,Unlike most real sector ICOs GTurbo is based on an already operating business with a billion-dollar turnover. We plan to scale manufacture capacity and invite you to invest in a stable profitable business!,https://github.com/GTurboofficialorg/,https://gturbo.io/,https://github.com/GTurboofficialorg/Documantation/blob/master/GTurboWhitepaperEN.md
https://icosource.io/ico/jibrel-network/,Jibrel Network ICO Details, 27th Nov - 27th Jan,"We are the first protocol to allow anyone to put traditional assets like currencies, bonds, and other financial instruments on the blockchain in a form of Crypto Depository Receipts (CryDRs).",,https://jibrel.network,https://jibrel.network/assets/white_paper/Jibrel%20Network%20-%20White%20Paper%20(2nd%20Draft).pdf
https://icosource.io/ico/alpha-coin/,Alpha Coin ICO Details, 12th Jan - 16th Feb,"Alpha Coin is a unique cryptocurrency that provides instant, automated, guaranteed profits via our Alpha Trading Platform.",,http://alphacoin.me/,http://www.alphacoin.me/white-paper.pdf
https://icosource.io/ico/alpha-coin-pre-ico/,Alpha Coin Pre-ICO ICO Details, 12th Jan - 12th Jan,"Alpha Coin is a unique cryptocurrency that provides instant, automated, guaranteed profits via our Alpha Trading Platform.",,http://alphacoin.me/,http://www.alphacoin.me/white-paper.pdf
https://icosource.io/ico/credits/,Credits ICO Details, 15th Jan - 15th Feb,"CREDITS platform offers new and unique technical implementation of blockchain technology, smart contracts, data protocol and has its own internal cryptocurrency.",https://gist.github.com/Credits-com,https://credits.com/,https://credits.com/Content/Docs/TechnicalWhitePaperCREDITSEng.pdf
https://icosource.io/ico/ratedate/,RateDate ICO Details, 15th Jan - 28th Mar,Rate Date includes a wide range of opportunities:,,https://ico.ratedate.net/,https://ico.ratedate.net/assets/white_paper_en_1.1.pdf
https://icosource.io/ico/live/,Live ICO Details, 15th Jan - 15th Feb,"Live Stars is the world’s first webcam platform in the online adult entertainment industry that is using blockchain technology to fundamentally upgrade the system and to solve its main problems. Live Stars is a fundamentally new platform with a different business model based on the exclusion of intermediaries and automating all the processes. Implementation of the smart contracts in the business logic and financial platform segment provides a more effective, safe, and convenient interaction between users, models, affiliates, and the platform itself. Live Stars´ platform uses its own token “LIVE” as a form of the payment for services rendered. LIVE is the only form of payment. The users can buy the token on the platform using the built-in API for a quick exchange to the popular cryptocurrencies at the current rate of exchange. The token will also be available at cryptocurrency exchanges, and the users will have the opportunity to make a direct transfer to their own Live Stars wallet in their users’ accounts. The users who are not familiar with cryptocurrencies will be able to buy LIVE tokens easily for fiat money using third-party services.",https://github.com/LiveStars,http://livestars.io/,http://livestars.io/whitepaper.pdf
https://icosource.io/ico/origintrail/,OriginTrail ICO Details, 15th Jan - 1st Feb,Blockchain technology has huge potential to decentralize trust in supply chains and,https://github.com/origintrail,https://origintrail.io/,https://origintrail.io/wp-content/uploads/2017/10/OriginTrail-White-Paper.pdf
https://icosource.io/ico/legolas/,Legolas ICO Details, 15th Jan - 1st Feb,"Legolas creates a new decentralized blockchain protocol that guarantees full transparency and prevents front-running and market manipulation. Legolas combines features of both centralized and decentralized architectures in order to exploit the best of both worlds: fiat support, strong authentication, simplicity, as well as transparency and fairness. Our extensive experience designing reliably secure systems and our strategic partnership with Ledger ensure state of the art safeguards for crypto assets.",https://github.com/ouziel-slama,https://legolas.exchange/,https://legolas.exchange/static/public/legolas-whitepaper.pdf?v=11
https://icosource.io/ico/dopamine/,Dopamine.ai ICO Details, 17th Jan - 31st Jan,"Intelligent machines can solve problems, such as having to work, drive, or clean your home. Super-intelligent machines can potentially solve even bigger challenges, such as hunger or natural disasters.",,http://www.dopamine.ai,https://dopamine.ai/#whitepaper
https://icosource.io/ico/ccos/,CCOS ICO Details, 22nd Jan - 12th Mar,CrowdCoinage plans to change how startups will be raising,,https://crowdcoinage.com/,https://cdn.crowdcoinage.com/static/CrowdCoinage-Whitepaper-2017-12-04.pdf
https://icosource.io/ico/blocklancer/,Blocklancer ICO Details, 23rd Jan - 23rd Feb,"Blocklancer is a Distributed Autonomous Job Marketplace (DAJ) on the Ethereum Blockchain. Blocklancer is our vision of a completely self-regulatory platform for finding jobs and getting projects done efficiently and fairly. Blocklancer is changing the way freelancing works for both the freelancer and customers, focusing on creating a more trustworthy platform all stakeholders can rely on.",https://github.com/BlocklancerOrg,https://blocklancer.net/,https://blocklancer.net/static/main/docs/lancer_whitepaper.pdf
https://icosource.io/ico/canya-coin/,Canya Coin ICO Details,"
																						26th Nov - 1st Feb										","CanYa is a peer to peer market of skilled services – where users are instantly connected to service providers. Unlike most ICO’s we already have a working product, high user growth and an experienced team – We launched our initial product to Australia earlier this year and now we’re conducting an ICO to fund expansion into the international market as well as launching CAN token. Being able to bring a skilled services marketplace to the cryptocurrecny community allows instant spending of crypto for real services – bringing value to the ecosystem. On top of this, CanYa also benefits cryptocurrency by allowing us to bring crypto to those who want a skilled services marketplace but who are yet to become familiar to cryptocurrency.",https://github.com/CanYaCoinSale/,http://www.canya.io,https://canya.io/assets/docs/WhitePaper.pdf
https://icosource.io/ico/magnumlink/,Magnum Link ICO Details,"
																						12th Nov - 12th Jan										","We are a registered company with a valid license to operate exploration, mining and refining operations. We discover minerals and exploitation opportunities in Sierra Leone and internationally with the goal of allowing investors more secure and efficient way to trade precious minerals.",,http://www.magnumlink.com,https://www.magnumlink.com/WP_ENG_1_booklet.pdf
https://icosource.io/ico/lendoit/,Lendoit ICO Details,"
																						13th Dec - 13th Jan										","Lendoit is decentralized P2P Lending platform based on Ethereum, which connects borrowers and lenders from around the world using the advantages of Smart Contracts and the Blockchain technology. The platform provides all the elements a lending market needs to function, namely: professional scoring and verification APIs for each country, a loan marketplace, where lenders bid interest rates on loan applications and a default market where failed loans can be traded. The Lendoit Smart Loan Contract also offers important functions like syndicated loans and the ability to sell a loan to another lender if needed.",,https://lendoit.com,https://goo.gl/rDYnr8
https://icosource.io/ico/fintab/,FinTab ICO Details,"
																						14th Dec - 14th Jan										","FinTab is Accounting System for Cryptocurrency Portfolios. Keep a record of cryptocurrencies and analyze the current state of your funds on various exchanges and e-wallets with the help of our system. Besides, we already have a working beta-version of our service.",,https://fintab.io/,https://drive.google.com/open?id=1IawIwe0zJmhytA6PIs9S8wEo7gP6nyRL
https://icosource.io/ico/media-coin/,Media Coin ICO Details,"
																						18th Dec - 19th Jan										","AdMine is a new kind of crypto currency mining where the user receives koins for viewing advertising on the Internet, assessing the quality of goods, providing personal data for analytical services, passing marketing quests, testing games.",,http://admine.io/,http://admine.io/material/AdMine_White_Paper_eng.pdf
https://icosource.io/ico/immune-coin/,Immune Coin ICO Details,"
																						5th Dec - 20th Jan										",Everyone is worthy of having the freedom from diseases!,,http://immunecoin.info,http://immunecoin.info/en/IMC_WhitePaper_2017.10.28_en.pdf
https://icosource.io/ico/obizcoin-pre-ico/,Obizcoin Pre-ICO ICO Details,"
																						14th Dec - 24th Jan										","ObizCoin is getting ready for their ICO Pre-Sale and their global introduction of the world’s first “Smart Process BOTs”. The ObizCoin Platform has in and of itself created a new paradigm in the way businesses will manage their internal processes. Any successful enterprise must have the ability to define and implement each business process, and then to analyze how to improve upon it. Through the use of Artificial Intelligence and Blockchain Technology, ObizCoin Smart Bot’s will be able to identify and improve all the processes that go into a successful business model.",https://github.com/Obizcoin/obizcoin,https://www.obizcoin.io/,https://www.obizcoin.io/images/Obizcoin-Whitepaper.pdf
https://icosource.io/ico/astor-pre-ico/,Astor Pre-ICO ICO Details,"
																						10th Jan - 24th Jan										","AstorGame will change the eSports and betting world with an eSports and online gambling platform developed using cutting-edge technology on which each person, in accordance with his or her profile, can choose between gaming and betting. If you are an eSports player, you can use the eSports platform to take part in matches and tournaments of games such as League of Legends, FIFA 17, Dota 2, Counter-Strike, Playerunknown’s Battlegrounds and Halo, among many others that will be added over time.",,http://astorgame.com/,http://astorgame.com/docs/WP_AstorGame_en.pdf
https://icosource.io/ico/gturbo-token/,GTurbo Token ICO Details,"
																						11th Jan - 25th Jan										",Unlike most real sector ICOs GTurbo is based on an already operating business with a billion-dollar turnover. We plan to scale manufacture capacity and invite you to invest in a stable profitable business!,https://github.com/GTurboofficialorg/,https://gturbo.io/,https://github.com/GTurboofficialorg/Documantation/blob/master/GTurboWhitepaperEN.md
https://icosource.io/ico/jibrel-network/,Jibrel Network ICO Details,"
																						27th Nov - 27th Jan										","We are the first protocol to allow anyone to put traditional assets like currencies, bonds, and other financial instruments on the blockchain in a form of Crypto Depository Receipts (CryDRs).",,https://jibrel.network,https://jibrel.network/assets/white_paper/Jibrel%20Network%20-%20White%20Paper%20(2nd%20Draft).pdf
https://icosource.io/ico/alpha-coin/,Alpha Coin ICO Details,"
																						12th Jan - 16th Feb										","Alpha Coin is a unique cryptocurrency that provides instant, automated, guaranteed profits via our Alpha Trading Platform.",,http://alphacoin.me/,http://www.alphacoin.me/white-paper.pdf
https://icosource.io/ico/alpha-coin-pre-ico/,Alpha Coin Pre-ICO ICO Details,"
																						12th Jan - 12th Jan										","Alpha Coin is a unique cryptocurrency that provides instant, automated, guaranteed profits via our Alpha Trading Platform.",,http://alphacoin.me/,http://www.alphacoin.me/white-paper.pdf
https://icosource.io/ico/credits/,Credits ICO Details,"
																						15th Jan - 15th Feb										","CREDITS platform offers new and unique technical implementation of blockchain technology, smart contracts, data protocol and has its own internal cryptocurrency.",https://gist.github.com/Credits-com,https://credits.com/,https://credits.com/Content/Docs/TechnicalWhitePaperCREDITSEng.pdf
https://icosource.io/ico/ratedate/,RateDate ICO Details,"
																						15th Jan - 28th Mar										",Rate Date includes a wide range of opportunities:,,https://ico.ratedate.net/,https://ico.ratedate.net/assets/white_paper_en_1.1.pdf
https://icosource.io/ico/live/,Live ICO Details,"
																						15th Jan - 15th Feb										","Live Stars is the world’s first webcam platform in the online adult entertainment industry that is using blockchain technology to fundamentally upgrade the system and to solve its main problems. Live Stars is a fundamentally new platform with a different business model based on the exclusion of intermediaries and automating all the processes. Implementation of the smart contracts in the business logic and financial platform segment provides a more effective, safe, and convenient interaction between users, models, affiliates, and the platform itself. Live Stars´ platform uses its own token “LIVE” as a form of the payment for services rendered. LIVE is the only form of payment. The users can buy the token on the platform using the built-in API for a quick exchange to the popular cryptocurrencies at the current rate of exchange. The token will also be available at cryptocurrency exchanges, and the users will have the opportunity to make a direct transfer to their own Live Stars wallet in their users’ accounts. The users who are not familiar with cryptocurrencies will be able to buy LIVE tokens easily for fiat money using third-party services.",https://github.com/LiveStars,http://livestars.io/,http://livestars.io/whitepaper.pdf
https://icosource.io/ico/origintrail/,OriginTrail ICO Details,"
																						15th Jan - 1st Feb										",Blockchain technology has huge potential to decentralize trust in supply chains and,https://github.com/origintrail,https://origintrail.io/,https://origintrail.io/wp-content/uploads/2017/10/OriginTrail-White-Paper.pdf
https://icosource.io/ico/legolas/,Legolas ICO Details,"
																						15th Jan - 1st Feb										","Legolas creates a new decentralized blockchain protocol that guarantees full transparency and prevents front-running and market manipulation. Legolas combines features of both centralized and decentralized architectures in order to exploit the best of both worlds: fiat support, strong authentication, simplicity, as well as transparency and fairness. Our extensive experience designing reliably secure systems and our strategic partnership with Ledger ensure state of the art safeguards for crypto assets.",https://github.com/ouziel-slama,https://legolas.exchange/,https://legolas.exchange/static/public/legolas-whitepaper.pdf?v=11
https://icosource.io/ico/dopamine/,Dopamine.ai ICO Details,"
																						17th Jan - 31st Jan										","Intelligent machines can solve problems, such as having to work, drive, or clean your home. Super-intelligent machines can potentially solve even bigger challenges, such as hunger or natural disasters.",,http://www.dopamine.ai,https://dopamine.ai/#whitepaper
https://icosource.io/ico/ccos/,CCOS ICO Details,"
																						22nd Jan - 12th Mar										",CrowdCoinage plans to change how startups will be raising,,https://crowdcoinage.com/,https://cdn.crowdcoinage.com/static/CrowdCoinage-Whitepaper-2017-12-04.pdf
https://icosource.io/ico/blocklancer/,Blocklancer ICO Details,"
																						23rd Jan - 23rd Feb										","Blocklancer is a Distributed Autonomous Job Marketplace (DAJ) on the Ethereum Blockchain. Blocklancer is our vision of a completely self-regulatory platform for finding jobs and getting projects done efficiently and fairly. Blocklancer is changing the way freelancing works for both the freelancer and customers, focusing on creating a more trustworthy platform all stakeholders can rely on.",https://github.com/BlocklancerOrg,https://blocklancer.net/,https://blocklancer.net/static/main/docs/lancer_whitepaper.pdf
https://icosource.io/ico/fortitude/,Fortitude ICO Details,"
																						7th Dec - 30th Jan										","Fortitude Ranch, a recreational and survival community, is creating a tradable cryptocurrrency token for advance membership sales to fund expansion to provide more people with a cost effective, affordable means to survive a collapse. Our cryptocurrency token, called a Fortitude, gives you a discount price on Fortitude Ranch membership, protection from membership price increases, and priority in joining when there is a waiting list. Blockchain technology is used to keep our member identities and security passwords for crisis entry into Fortitude Ranch locations absolutely secure, for voting and polling using blockchain, and for the issue and trading of Fortitudes, our cryptocurrency token for discount, priority membership purchase. When there is a surge in demand to join FR as a result of a pending threat or rising international tensions, we will not be able to meet demand for new members. Because of the priority FR token holders have in gaining membership when a waiting list to join, the price of Fortitudes could surge since owning Fortitudes may be the only way that some new members can get into FR location in times of crisis or high demand.",https://github.com/FortitudeRanch/Fortitudes-MemberCoin,https://www.fortituderanch.com/initial-membercoin-offering/,https://www.fortituderanch.com/initial-membercoin-offering/
https://icosource.io/ico/stampify/,Stampify ICO Details,"
																						1st Dec - 30th Jan										",Stampify paves the way to the business of ,https://github.com/stampify,https://www.stampify.me/,https://stampify.me/pdf/Stampify-Whitepaper.pdf
https://icosource.io/ico/valorem/,Valorem ICO Details,"
																						15th Dec - 30th Jan										","Valorem Foundation’s goal is to provide an easy to use platform, for the mainstream as well as the crypto community.",https://github.com/ValoremFoundation,https://advalorem.io/,https://static1.squarespace.com/static/5970abb237c581505171cbae/t/59ffdfdd652dea4f72034d2a/1509941255088/Valorem+Whitepaper+Final%281%29.pdf
https://icosource.io/ico/legolas-pre-ico/,Legolas Pre-ICO ICO Details,"
																						2nd Sep - 30th Jan										","Legolas creates a new decentralized blockchain protocol that guarantees full transparency and prevents front-running and market manipulation. Legolas combines features of both centralized and decentralized architectures in order to exploit the best of both worlds: fiat support, strong authentication, simplicity, as well as transparency and fairness. Our extensive experience designing reliably secure systems and our strategic partnership with Ledger ensure state of the art safeguards for crypto assets.",https://github.com/ouziel-slama,https://legolas.exchange/,https://legolas.exchange/static/public/legolas-whitepaper.pdf?v=11
https://icosource.io/ico/caviar/,Caviar ICO Details,"
																						12th Dec - 31st Jan										","Caviar is de-risking investments in digital assets by diversifying cryptocurrencies with income producing real estate debt, combining growth and income into a single token, and facilitating crowdfunding for real estate projects.",,https://www.caviar.io/,https://s3.amazonaws.com/caviar-presentations/CaviarWhitepaper.pdf
https://icosource.io/ico/breadapp/,BreadApp ICO Details,"
																						1st Jan - 31st Jan										","Bread currently has 550k+ users in over 120+ countries and is a wallet that is directly connected to the bitcoin network. As Bread prepares to rapidly expand into all aspects of global finance, adding ETH, ERC20 token and other crypto currencies, we are launching the first-ever wallet-based rewards program, built around the Bread token.",https://github.com/breadwallet,https://token.breadapp.com,http://token.breadapp.com
https://icosource.io/ico/totum/,Totum ICO Details,"
																						15th Dec - 31st Jan										","The idea of the platform is that anyone who wants to emit their own cryptocurrency from the game can mine a certain amount of Totum coins, which later can be spent to gain the right amount of game currency. Then, game developers can distribute game coins among the gamers as rewards and accept them as payment for game improvements.",https://github.com/Totumteam,https://totum.in/,https://totum.in/files/white-paper/white-paper-en-v3.pdf
https://icosource.io/ico/fintech-coin/,Fintech Coin ICO Details,"
																						29th Nov - 31st Jan										",FintechFans is Building a Decentralized Marketplace for one-off tasks and short-term positions.,https://github.com/FintechFans,https://tokensale.fintechfans.com/,https://tokensale.fintechfans.com/whitepaper.pdf
https://icosource.io/ico/betex/,Betex ICO Details,"
																						4th Dec - 31st Jan										","Powered by Ethereum smart contracts, Betex brings indisputable transparency, fair conduct, and audible results to the binary options trading.",,https://betexlab.com/,https://betexlab.com/betex-wp.pdf
